1996  12  11	 5.066751	 5.932892	 6.855977
1996  12  12	 5.103806	 5.945317	 6.865716
1996  12  13	 5.103139	 5.805328	 6.686700
1996  12  16	 5.134578	 5.892518	 6.767435
1996  12  17	 5.222409	 5.929824	 6.853881
1996  12  18	 5.267939	 5.949812	 6.705397
1996  12  19	 5.178900	 5.885257	 6.766011
1996  12  20	 5.147453	 5.782068	 6.743733
1996  12  23	 5.182459	 5.874060	 6.746412
1996  12  24	 5.182459	 5.874060	 6.746412
1996  12  25	 NaN	 NaN	 NaN
1996  12  26	 5.182437	 5.874056	 6.746717
1996  12  27	 5.152750	 5.875235	 6.696333
1996  12  30	 5.063096	 5.898977	 6.713412
1996  12  31	 5.258756	 5.944653	 6.861635
1997  01  01	 NaN	 NaN	 NaN
1997  01  02	 5.298535	 6.114553	 6.936832
1997  01  03	 5.307831	 6.093564	 6.911532
1997  01  06	 5.301042	 6.095921	 6.931688
1997  01  07	 5.285852	 6.151991	 6.980233
1997  01  08	 5.255894	 6.146233	 6.918828
1997  01  09	 5.272399	 6.160939	 6.978958
1997  01  10	 5.502379	 6.233416	 7.061349
1997  01  13	 5.429644	 6.304576	 7.059126
1997  01  14	 5.353346	 6.126602	 6.957861
1997  01  15	 5.406579	 6.183837	 6.950678
1997  01  16	 5.343266	 6.137381	 7.038895
1997  01  17	 5.333192	 6.110519	 7.041502
1997  01  20	 5.325506	 6.113680	 7.073092
1997  01  21	 5.281573	 6.119213	 6.913527
1997  01  22	 5.292830	 6.147971	 6.903149
1997  01  23	 5.316897	 6.154058	 7.028179
1997  01  24	 5.449619	 6.136573	 7.160472
1997  01  27	 5.514906	 6.314011	 7.185167
1997  01  28	 5.369677	 6.140751	 7.022340
1997  01  29	 5.463328	 6.142632	 7.020553
1997  01  30	 5.374100	 6.166630	 6.852854
1997  01  31	 5.275600	 6.082911	 6.881323
1997  02  03	 5.242508	 6.025562	 6.754928
1997  02  04	 5.240194	 6.028001	 6.759550
1997  02  05	 5.217784	 6.081089	 6.760412
1997  02  06	 5.215571	 6.081862	 6.764838
1997  02  07	 5.199895	 6.002162	 6.636386
1997  02  10	 5.192201	 5.980643	 6.700368
1997  02  11	 5.229866	 5.989374	 6.810394
1997  02  12	 5.241751	 6.003332	 6.758614
1997  02  13	 5.206014	 5.909837	 6.644713
1997  02  14	 5.178330	 5.865407	 6.719251
1997  02  17	 NaN	 NaN	 NaN
1997  02  18	 5.168194	 5.881296	 6.734715
1997  02  19	 5.175438	 5.884138	 6.725389
1997  02  20	 5.225336	 5.984040	 6.734139
1997  02  21	 5.204393	 5.999324	 6.777704
1997  02  24	 5.243524	 5.960991	 6.807291
1997  02  25	 5.232913	 6.006154	 6.724018
1997  02  26	 5.559975	 6.282146	 6.965792
1997  02  27	 5.545538	 6.272779	 6.963155
1997  02  28	 5.556183	 6.165779	 6.988634
1997  03  03	 5.567511	 6.294919	 7.073195
1997  03  04	 5.566695	 6.326115	 7.286880
1997  03  05	 5.566695	 6.326115	 7.286880
1997  03  06	 5.577579	 6.301995	 7.335812
1997  03  07	 5.573164	 6.198925	 7.291931
1997  03  10	 5.573164	 6.198925	 7.291931
1997  03  11	 5.573164	 6.198925	 7.291931
1997  03  12	 5.577835	 6.207787	 7.298747
1997  03  13	 5.631212	 6.337183	 7.281941
1997  03  14	 5.615969	 6.247883	 7.116981
1997  03  17	 5.702118	 6.355466	 7.174582
1997  03  18	 5.636333	 6.324669	 7.264146
1997  03  19	 5.649782	 6.239191	 7.332758
1997  03  20	 5.693046	 6.500244	 7.321615
1997  03  21	 5.654254	 6.507392	 7.287814
1997  03  24	 5.700115	 6.312230	 7.314424
1997  03  25	 6.004483	 6.427926	 7.372472
1997  03  26	 5.835758	 6.440589	 7.376061
1997  03  27	 5.852464	 6.641888	 7.473377
1997  03  28	 NaN	 NaN	 NaN
1997  03  31	 5.959232	 6.764888	 7.429447
1997  04  01	 5.947943	 6.619543	 7.443522
1997  04  02	 5.988544	 6.627590	 7.403257
1997  04  03	 6.041755	 6.631052	 7.418153
1997  04  04	 5.974717	 6.766641	 7.438122
1997  04  07	 6.005853	 6.530236	 7.431400
1997  04  08	 6.041614	 6.779885	 7.451700
1997  04  09	 6.056212	 6.756357	 7.427198
1997  04  10	 6.022347	 6.766432	 7.440773
1997  04  11	 6.112521	 6.780399	 7.523241
1997  04  14	 6.133372	 6.794524	 7.547828
1997  04  15	 6.073212	 6.721491	 7.492829
1997  04  16	 6.093765	 6.753142	 7.496764
1997  04  17	 5.978224	 6.686475	 7.397299
1997  04  18	 5.935109	 6.597630	 7.378717
1997  04  21	 5.913367	 6.586640	 7.498970
1997  04  22	 5.937881	 6.655027	 7.504872
1997  04  23	 5.960480	 6.705178	 7.435095
1997  04  24	 5.968887	 6.756174	 7.562650
1997  04  25	 6.014367	 6.781106	 7.592871
1997  04  28	 5.981671	 6.771568	 7.571386
1997  04  29	 5.732735	 6.564655	 7.347027
1997  04  30	 5.783340	 6.502844	 7.326602
1997  05  01	 5.759837	 6.435333	 7.171523
1997  05  02	 5.770962	 6.424848	 7.129548
1997  05  05	 5.770175	 6.419687	 7.093909
1997  05  06	 5.757230	 6.507795	 7.163045
1997  05  07	 5.900853	 6.582770	 7.210358
1997  05  08	 5.813399	 6.508607	 7.210570
1997  05  09	 5.708071	 6.480206	 7.125446
1997  05  12	 5.775103	 6.442340	 7.195688
1997  05  13	 5.777704	 6.424994	 7.228664
1997  05  14	 5.786579	 6.407308	 7.163626
1997  05  15	 5.763149	 6.389591	 7.125120
1997  05  16	 5.788410	 6.481792	 7.182631
1997  05  19	 5.800424	 6.464249	 7.231212
1997  05  20	 5.808740	 6.413446	 7.102482
1997  05  21	 5.816075	 6.430325	 7.108283
1997  05  22	 5.820530	 6.428634	 7.210580
1997  05  23	 5.824692	 6.429273	 7.213886
1997  05  26	 NaN	 NaN	 NaN
1997  05  27	 5.798143	 6.593316	 7.222835
1997  05  28	 5.768972	 6.574008	 7.329398
1997  05  29	 5.852930	 6.554125	 7.250844
1997  05  30	 5.794127	 6.400074	 7.270474
1997  06  02	 5.788088	 6.456536	 7.291992
1997  06  03	 5.786310	 6.458760	 6.999901
1997  06  04	 5.815218	 6.478357	 6.999422
1997  06  05	 5.815218	 6.478357	 6.999422
1997  06  06	 5.768124	 6.267962	 6.968308
1997  06  09	 5.774838	 6.321896	 7.202541
1997  06  10	 5.786337	 6.243007	 7.199872
1997  06  11	 5.786337	 6.243007	 7.199872
1997  06  12	 5.612982	 6.222229	 7.014330
1997  06  13	 5.614071	 6.179470	 6.855563
1997  06  16	 5.480334	 6.141957	 6.743171
1997  06  17	 5.610066	 6.154758	 6.847073
1997  06  18	 5.473370	 6.142283	 6.804778
1997  06  19	 5.558627	 6.180257	 6.875072
1997  06  20	 5.532341	 6.137273	 6.871559
1997  06  23	 5.595085	 6.232168	 6.891255
1997  06  24	 5.599845	 6.189010	 6.898521
1997  06  25	 5.599619	 6.198668	 6.860316
1997  06  26	 5.616278	 6.268938	 6.956861
1997  06  27	 5.614911	 6.265034	 6.877649
1997  06  30	 5.619638	 6.319126	 6.958392
1997  07  01	 5.614414	 6.252939	 6.905690
1997  07  02	 5.594309	 6.184584	 6.816344
1997  07  03	 5.555856	 6.071235	 6.659433
1997  07  04	 NaN	 NaN	 NaN
1997  07  07	 5.524630	 6.084035	 6.670468
1997  07  08	 5.525843	 6.105667	 6.675150
1997  07  09	 5.530272	 6.065596	 6.681327
1997  07  10	 5.500761	 6.076473	 6.685084
1997  07  11	 5.490439	 6.074676	 6.687907
1997  07  14	 5.542507	 6.064917	 6.743972
1997  07  15	 5.540243	 6.101119	 6.748502
1997  07  16	 5.519370	 6.043375	 6.711348
1997  07  17	 5.516522	 6.044734	 6.716048
1997  07  18	 5.548729	 6.092335	 6.741479
1997  07  21	 5.553771	 6.056139	 6.762128
1997  07  22	 5.468762	 5.931516	 6.590736
1997  07  23	 5.414184	 5.964822	 6.624846
1997  07  24	 5.408524	 5.945680	 6.638602
1997  07  25	 5.413357	 5.998895	 6.703317
1997  07  28	 5.391430	 5.992295	 6.619181
1997  07  29	 5.379977	 5.961023	 6.646126
1997  07  30	 5.364045	 5.883919	 6.664752
1997  07  31	 5.288433	 5.812191	 6.596613
1997  08  01	 5.459767	 6.157267	 6.823562
1997  08  04	 5.540108	 6.174814	 6.782156
1997  08  05	 5.507766	 6.206223	 6.803922
1997  08  06	 5.529187	 6.140903	 6.804243
1997  08  07	 5.513421	 6.211353	 6.806026
1997  08  08	 5.636492	 6.269026	 6.871372
1997  08  11	 5.656450	 6.260791	 6.936400
1997  08  12	 5.649350	 6.280544	 6.938100
1997  08  13	 5.547584	 6.230557	 6.965339
1997  08  14	 5.462054	 6.175767	 6.821140
1997  08  15	 5.346950	 6.007549	 6.742149
1997  08  18	 5.296003	 6.034498	 6.643712
1997  08  19	 5.425608	 6.076285	 6.663808
1997  08  20	 5.498080	 6.074577	 6.680900
1997  08  21	 5.436433	 6.109741	 6.693392
1997  08  22	 5.470379	 6.157527	 6.826798
1997  08  25	 5.437119	 6.210106	 6.996006
1997  08  26	 5.544316	 6.166907	 7.003766
1997  08  27	 5.474410	 6.262977	 6.893729
1997  08  28	 5.472591	 6.276191	 6.992557
1997  08  29	 5.560107	 6.193482	 6.883404
1997  09  01	 NaN	 NaN	 NaN
1997  09  02	 5.424739	 6.263507	 6.746503
1997  09  03	 5.589465	 6.172652	 6.898949
1997  09  04	 5.538710	 6.273326	 6.928369
1997  09  05	 5.473587	 6.195601	 6.935995
1997  09  08	 5.553890	 6.184445	 6.898359
1997  09  09	 5.612277	 6.191290	 6.899702
1997  09  10	 5.702957	 6.229419	 6.892215
1997  09  11	 5.562464	 6.261323	 6.918120
1997  09  12	 5.431176	 6.133685	 6.803517
1997  09  15	 5.439814	 6.191090	 6.833783
1997  09  16	 5.507400	 5.971484	 6.483364
1997  09  17	 5.500095	 6.014241	 6.493406
1997  09  18	 5.506994	 5.963249	 6.771298
1997  09  19	 5.480220	 5.989733	 6.776399
1997  09  22	 5.505766	 5.948212	 6.771298
1997  09  23	 5.527660	 6.007059	 6.660328
1997  09  24	 5.538173	 5.920238	 6.595466
1997  09  25	 5.547045	 5.947217	 6.637261
1997  09  26	 5.496039	 5.934467	 6.605758
1997  09  29	 5.457731	 5.929365	 6.617070
1997  09  30	 5.474475	 5.952205	 6.611741
1997  10  01	 5.499570	 5.900501	 6.578013
1997  10  02	 5.412042	 5.882006	 6.578246
1997  10  03	 5.368979	 5.860761	 6.567222
1997  10  06	 5.306691	 5.810983	 6.456208
1997  10  07	 5.280684	 5.824481	 6.478374
1997  10  08	 5.406517	 6.002332	 6.617836
1997  10  09	 5.492878	 5.979977	 6.614881
1997  10  10	 5.508305	 6.043222	 6.717496
1997  10  13	 5.507586	 6.047743	 6.737246
1997  10  14	 5.476405	 5.931218	 6.694290
1997  10  15	 5.556511	 6.015985	 6.739184
1997  10  16	 5.552469	 6.032248	 6.746720
1997  10  17	 5.556104	 6.148296	 6.791375
1997  10  20	 5.568085	 6.130333	 6.808295
1997  10  21	 5.588582	 6.127606	 6.830229
1997  10  22	 5.551611	 6.124512	 6.818379
1997  10  23	 5.456011	 6.024376	 6.672530
1997  10  24	 5.485308	 6.003886	 6.698126
1997  10  27	 5.199708	 5.835683	 6.663527
1997  10  28	 5.250384	 6.020764	 6.816564
1997  10  29	 5.251481	 5.976409	 6.651843
1997  10  30	 5.204946	 5.899846	 6.713767
1997  10  31	 5.218007	 5.944511	 6.693581
1997  11  03	 5.322788	 6.001011	 6.706739
1997  11  04	 5.427564	 6.030993	 6.718135
1997  11  05	 5.398110	 6.002410	 6.695585
1997  11  06	 5.389382	 5.975931	 6.618059
1997  11  07	 5.345626	 5.997301	 6.726122
1997  11  10	 5.368902	 6.035459	 6.688015
1997  11  11	 5.365097	 6.036615	 6.690166
1997  11  12	 5.355651	 6.007626	 6.684894
1997  11  13	 5.430849	 6.046139	 6.679060
1997  11  14	 5.341065	 6.042637	 6.699935
1997  11  17	 5.347765	 6.039604	 6.706860
1997  11  18	 5.344857	 6.052155	 6.691900
1997  11  19	 5.345490	 5.978946	 6.654457
1997  11  20	 5.400807	 6.064740	 6.677740
1997  11  21	 5.379720	 5.914175	 6.592704
1997  11  24	 5.403284	 6.066254	 6.672674
1997  11  25	 5.388694	 6.026344	 6.666187
